registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
21989,WETOL                                       ,comp.rec.x 30           ,5 mg,Beta                ,pilocarpina                             ,4429051,7795328058408
21996,BIFORT                                      ,25 mg comp.rec.x 2      ,25 mg,Finadiet            ,sildenafil                              ,4432842,7791171100349
21999,BIFORT                                      ,50 mg comp.rec.x 1      ,50 mg,Finadiet            ,sildenafil                              ,4432921,7791171100370
22000,BIFORT                                      ,50 mg comp.rec.x 2      ,50 mg,Finadiet            ,sildenafil                              ,4432922,7791171100356
22001,BIFORT                                      ,50 mg comp.rec.x 4      ,50 mg,Finadiet            ,sildenafil                              ,4432923,7791171100325
22002,BIFORT                                      ,50 mg comp.rec.x 6      ,50 mg,Finadiet            ,sildenafil                              ,4432925,7791171000328
22003,BIFORT                                      ,50 mg comp.rec.x 10     ,50 mg,Finadiet            ,sildenafil                              ,4432927,7791171002384
22004,BIFORT                                      ,100 mg comp.rec.x 2     ,100 mg,Finadiet            ,sildenafil                              ,4433092,7791171100363
22005,BIFORT                                      ,100 mg comp.rec.x 4     ,100 mg,Finadiet            ,sildenafil                              ,4433093,7791171100332
22006,BIFORT                                      ,100 mg comp.rec.x 6     ,100 mg,Finadiet            ,sildenafil                              ,4433095,7791171002391
22014,ADVANTAN                                    ,cr.x 15 g               ,100 mg %,Bayer Consumer      ,"metilprednisolona,aceponato             ",4143002,7795320050127
22015,ADVANTAN                                    ,pda.x 15 g              ,100 mg %,Bayer Consumer      ,"metilprednisolona,aceponato             ",4143182,7795320050134
22016,ADVANTAN                                    ,sol.x 20 ml             ,100 mg %,Bayer Consumer      ,"metilprednisolona,aceponato             ",4342331,7795320050165
22029,BONALFA                                     ,ung.x 20 g              ,4 mcg/g,MSD Argentina SR    ,tacalcitol                              ,4428483,7793081092790
22034,PANOXI                                      ,sol.oft.x 10 ml         ,25 mg %,Bausch & Lomb Ar    ,oximetazolina                           ,4022222,7798069050229
22035,PARACETAMOL FORTE RAFFO                     ,comp.rec.x 15           ,50/500 mg,Raffo               ,diclofenac+paracetamol                  ,3341361,7798084680418
22036,PARACETAMOL FORTE RAFFO                     ,comp.rec.x 30           ,50/500 mg,Raffo               ,diclofenac+paracetamol                  ,3341362,7798084680425
22037,SINGULAIR                                   ,10 mg comp.x 30         ,10 mg,Merck Sharp & Do    ,montelukast                             ,4402301,7797991065585
22038,TWINRIX                                     ,Ped.jga.prell.x 1       ,360 U/0.5 ml,GlaxoSmithKline     ,antígeno hepatitis a y b                ,4357861,7794640274510
22039,TWINRIX                                     ,Ad.jga.prell.x 1        ,720 U/ml,GlaxoSmithKline     ,antígeno hepatitis a y b                ,4357941,7794640274015
22040,SALBUTOL MDI                                ,aer.x 200 dosis         ,100 mcg/dosis,Takeda              ,salbutamol                              ,3051031,7795300739899
22048,GEPEPROSTIN                                 ,50 mg comp.rec.x 30     ,50 mg,Sandoz              ,bicalutamida                            ,4432501,7792069005708
22050,ATACAND                                     ,8 mg comp.divis.x 15    ,8 mg,AstraZeneca         ,candesartán cilexetil                   ,4345062,7795302036019
22051,ATACAND                                     ,16 mg comp.divis.x 15   ,16 mg,AstraZeneca         ,candesartán cilexetil                   ,4345142,7795302036033
22053,REQUIP                                      ,0.50 mg comp.x 42       ,0.5 mg,GlaxoSmithKline     ,ropinirol                               ,4310232,7794640261312
22054,REQUIP                                      ,1 mg comp.x 42          ,1 mg,GlaxoSmithKline     ,ropinirol                               ,4310312,7794640261114
22055,REQUIP                                      ,2 mg comp.x 42          ,2 mg,GlaxoSmithKline     ,ropinirol                               ,4310492,7794640261213
22059,IM 75 MONTPELLIER                           ,gel x 50 g              ,1 g %,Montpellier         ,indometacina                            ,4297471,7795378001850
22061,TECEEME                                     ,fco.x 250 ml            , No Clasificada,Nutricia-Bagó       ,triglicéridos                           ,9922061,7795323771777
22070,NEBLIC                                      ,500 mg comp.x 6         ,500 mg,Lazar               ,azitromicina                            ,4332692,7795347939436
22071,NEBLIC                                      ,1.2 g pvo.p/susp.x 30 ml,200 mg/5 ml,Lazar               ,azitromicina                            ,4332852,7795347939467
22085,ACNECLIN 100 AP                             ,caps.x 30               ,100 mg Retard,Investi             ,minociclina                             ,4434243,7795380041981
22086,SECURO                                      ,comp.x 2                ,6 mg,Raymos              ,ivermectina                             ,4264201,7791763000057
22094,DORIXINA                                    ,comp.x 20               ,125 mg,Roemmers            ,clonixinato lisina                      ,2304252,7795345010151
22098,MESNA DELTA FARMA                           ,200 mg a.x 10 x 2 ml    ,100 mg/ml,Sidus               ,mesna                                   ,4448361,7796035469815
22099,MESNA DELTA FARMA                           ,200 mg a.x 15 x 2 ml    ,100 mg/ml,Sidus               ,mesna                                   ,4448362,7796035469822
22100,MESNA DELTA FARMA                           ,400 mg a.x 10 x 4 ml    ,100 mg/ml,Sidus               ,mesna                                   ,4448441,7796035469839
22101,MESNA DELTA FARMA                           ,400 mg a.x 15 x 4 ml    ,100 mg/ml,Sidus               ,mesna                                   ,4448442,7796035469846
22103,PHYLARM                                     ,gts.oft.x 10 ml         , No Clasificada,Poen                ,"sodio,cloruro+asoc.                     ",4420122,7795368001471
22104,AMLODINE                                    ,5 mg comp.x 30          ,5 mg,Eurofarma           ,amlodipina                              ,4422361,7798016920391
22105,AMLODINE                                    ,10 mg comp.x 30         ,10 mg,Eurofarma           ,amlodipina                              ,4422441,7798016920407
22115,PSICOASTEN                                  ,20 mg comp.rec.x 10     ,20 mg,Beta                ,paroxetina                              ,4448101,7795328058200
22116,PSICOASTEN                                  ,20 mg comp.rec.x 30     ,20 mg,Beta                ,paroxetina                              ,4448102,7795328058224
22117,TRIAMID                                     ,500 mg comp.rec.x 5     ,500 mg,Beta                ,azitromicina                            ,4034022,7795328051218
22119,SEGUREX                                     ,50 mg comp.x 2          ,50 mg,Gador               ,sildenafil                              ,4437131,7792183486834
22120,SEGUREX                                     ,50 mg comp.x 4          ,50 mg,Gador               ,sildenafil                              ,4437132,7792183486841
22121,SEGUREX                                     ,100 mg comp.x 2         ,100 mg,Gador               ,sildenafil                              ,4437211,7792183486858
22159,OXIBUTININA FERRING                         ,5 mg comp.x 50          ,5 mg,Ferring             ,oxibutinina                             ,4443232,7798025130194
22165,VORST                                       ,25 mg comp.x 2          ,25 mg,Laboratorios Ber    ,sildenafil                              ,4433172,7792175005388
22166,VORST                                       ,25 mg comp.x 4          ,25 mg,Laboratorios Ber    ,sildenafil                              ,4433173,7792175005395
22167,VORST                                       ,50 mg comp.x 1          ,50 mg,Laboratorios Ber    ,sildenafil                              ,4433251,7792175005401
22168,VORST                                       ,50 mg comp.x 2          ,50 mg,Laboratorios Ber    ,sildenafil                              ,4433252,7792175005418
22169,VORST                                       ,50 mg comp.x 4          ,50 mg,Laboratorios Ber    ,sildenafil                              ,4433253,7792175005425
22171,VORST                                       ,100 mg comp.x 2         ,100 mg,Laboratorios Ber    ,sildenafil                              ,4433332,7792175005449
22172,VORST                                       ,100 mg comp.x 4         ,100 mg,Laboratorios Ber    ,sildenafil                              ,4433333,7792175005456
22173,OXIBUTININA FERRING                         ,5 mg comp.x 20          ,5 mg,Ferring             ,oxibutinina                             ,4443231,7798025130187
